Date,Open,High,Low,Close,Adj Close,Volume
2022-03-15,280.350006,287.820007,278.730011,287.149994,286.482758,34245100
2022-03-16,289.109985,294.570007,283.200012,294.390015,293.705933,37826300
2022-03-17,293.290009,295.609985,289.369995,295.220001,294.533997,30816600
2022-03-18,295.369995,301.000000,292.730011,300.429993,299.731873,43390600
2022-03-21,298.890015,300.140015,294.899994,299.160004,298.464844,28351200
2022-03-22,299.799988,305.000000,298.769989,304.059998,303.353455,27599700
2022-03-23,300.510010,303.230011,297.720001,299.489990,298.794067,25715400
2022-03-24,299.140015,304.200012,298.320007,304.100006,303.393372,24484500
2022-03-25,305.230011,305.500000,299.290009,303.679993,302.974335,22566500
2022-03-28,304.329987,310.799988,304.329987,310.700012,309.978058,29578200
2022-03-29,313.910004,315.820007,309.049988,315.410004,314.677094,30393400
2022-03-30,313.760010,315.950012,311.579987,313.859985,313.130676,28163600
2022-03-31,313.899994,315.140015,307.890015,308.309998,307.593567,33422100
2022-04-01,309.369995,310.130005,305.540009,309.420013,308.701019,27110500
2022-04-04,310.089996,315.109985,309.709991,314.970001,314.238098,24289600
2022-04-05,313.269989,314.869995,309.869995,310.880005,310.157623,23156700
2022-04-06,305.190002,307.000000,296.709991,299.500000,298.804047,40110400
2022-04-07,296.660004,303.649994,296.350006,301.369995,300.669708,31411200
2022-04-08,300.440002,301.119995,296.279999,296.970001,296.279938,24361900
2022-04-11,291.790009,292.609985,285.000000,285.260010,284.597168,34569300
2022-04-12,289.239990,290.739990,280.489990,282.059998,281.404572,30966700
2022-04-13,282.730011,288.579987,281.299988,287.619995,286.951660,21907200
2022-04-14,288.089996,288.309998,279.320007,279.829987,279.179749,28221600
2022-04-18,278.910004,282.459991,278.339996,280.519989,279.868134,20778000
2022-04-19,279.380005,286.170013,278.410004,285.299988,284.637054,22297700
2022-04-20,289.399994,289.700012,285.369995,286.359985,285.694580,22906700
2022-04-21,288.579987,293.299988,280.059998,280.809998,280.157471,29454600
2022-04-22,281.679993,283.200012,273.380005,274.029999,273.393250,29405800
2022-04-25,273.290009,281.109985,270.769989,280.720001,280.067688,35678900
2022-04-26,277.500000,278.359985,270.000000,270.220001,269.592102,46518400
2022-04-27,282.100006,290.970001,279.160004,283.220001,282.561890,63477700
2022-04-28,285.190002,290.980011,281.459991,289.630005,288.957001,33646600
2022-04-29,288.609985,289.880005,276.500000,277.519989,276.875122,37073900
2022-05-02,277.709991,284.940002,276.220001,284.470001,283.808990,35151100
2022-05-03,283.959991,284.130005,280.149994,281.779999,281.125244,25978600
2022-05-04,282.589996,290.880005,276.730011,289.980011,289.306183,33599300
2022-05-05,285.540009,286.350006,274.339996,277.350006,276.705536,43260400
2022-05-06,274.809998,279.250000,271.269989,274.730011,274.091614,37780300
2022-05-09,270.059998,272.359985,263.320007,264.579987,263.965179,47726000
2022-05-10,271.690002,273.750000,265.070007,269.500000,268.873779,39336400
2022-05-11,265.679993,271.359985,259.299988,260.549988,259.944550,48975900
2022-05-12,257.690002,259.880005,250.020004,255.350006,254.756653,51033800
2022-05-13,257.350006,263.040009,255.350006,261.119995,260.513245,34925100
2022-05-16,259.959991,265.820007,255.779999,261.500000,260.892365,32550900
2022-05-17,266.109985,268.329987,262.459991,266.820007,266.200012,28828800
2022-05-18,263.000000,263.600006,252.770004,254.080002,254.080002,31356000
2022-05-19,253.899994,257.670013,251.880005,253.139999,253.139999,32692300
2022-05-20,257.239990,258.540009,246.440002,252.559998,252.559998,39199300
2022-05-23,255.490005,261.500000,253.429993,260.649994,260.649994,33175400
2022-05-24,257.890015,261.329987,253.500000,259.619995,259.619995,29043900
2022-05-25,258.140015,264.579987,257.130005,262.519989,262.519989,28547900
2022-05-26,262.269989,267.109985,261.429993,265.899994,265.899994,25002100
2022-05-27,268.480011,273.339996,267.559998,273.239990,273.239990,26910800
2022-05-31,272.529999,274.769989,268.929993,271.869995,271.869995,37827700
2022-06-01,275.200012,277.690002,270.040009,272.420013,272.420013,25292200
2022-06-02,264.450012,274.649994,261.600006,274.579987,274.579987,44008200
2022-06-03,270.309998,273.450012,268.410004,270.019989,270.019989,28048000
2022-06-06,272.059998,274.179993,267.220001,268.750000,268.750000,22400300
2022-06-07,266.640015,273.130005,265.940002,272.500000,272.500000,22860700
2022-06-08,271.709991,273.000000,269.609985,270.410004,270.410004,17372300
2022-06-09,267.779999,272.709991,264.630005,264.790009,264.790009,26439700
2022-06-10,260.579987,260.579987,252.529999,252.990005,252.990005,31422800
2022-06-13,245.110001,249.020004,241.529999,242.259995,242.259995,46135800
2022-06-14,243.860001,245.740005,241.509995,244.490005,244.490005,28616700
